Coefficient of drag over Reynolds number. Data from Tritton (1959),
Reynolds number,Coefficient of drag
0.384967169526659,19.2343667347351
0.414703007221227,18.5370762823606
0.49302329094956,15.7406174428933
0.515709559188406,16.2467863160083
0.529626208602606,15.7821889790203
0.572072232911417,15.0504221866036
0.632907909188217,13.9789764190346
0.648070254097095,14.8141190513633
0.658647884148988,13.68710406595
0.713206861990993,13.68710406595
0.738453441917275,12.5461617409044
0.778768080847508,12.1873884290093
0.81474388479445,11.9644386005664
0.838945039876279,11.6529953081054
0.958269443508537,10.5416722004794
1.05969123806591,11.171460792058
1.15116900597353,9.4861610281766
1.27356414696851,8.85743824105597
1.27650480979749,9.79120620542204
1.30786029949723,8.7413952161954
1.45793108112889,9.0941661943098
1.4858389829771,8.11909168271868
1.53304581267938,9.53633377892668
1.64768774256221,8.27038587697272
1.70554721471184,8.20520332001338
1.71065449867557,7.44229290212164
2.03808796417225,7.32544321349873
2.10389496843047,7.44229290212164
2.24279012916598,6.89426499706764
2.35269458763079,6.71480211866032
2.39694342015482,6.59196497523916
2.42905834427675,6.5056023572131
2.68719936101831,6.15506341100011
2.85680582532921,5.82341242412818
3.06102102025004,5.70182318638555
3.22807352324001,5.56806719099905
3.51476971415659,5.25416865442385
3.60958441669427,5.11739871146961
3.82696325540687,4.94490640185898
4.80918184501928,4.50885674927651
4.84857947283254,4.25467096331598
5.49339925489618,4.03604938799227
6.51203022683797,3.6704503902844
7.05145306778671,3.6704503902844
7.41793173145922,3.40016954210402
8.05409806010079,3.35562325818238
9.39636587409346,3.09217069047242
9.88246206451328,3.05971910206366
11.3490383556103,2.70298860813552
12.9619291673138,2.51719221718269
15.2046414262807,2.22958746045625
15.6109602039688,2.33183380740987
17.3139485776804,2.27713257557744
18.7032515103079,2.11502256762912
21.9849918244517,2.21201509880361
21.9950148368251,1.93871655328107
23.3185506443806,1.898237354704
27.1987874474787,1.86351197485413
28.2227543091008,1.96445323805802
29.9240408192682,1.86843357692386
31.3218201807733,1.59075634995467
33.8117070409759,1.80545423112552
37.9040353351565,1.71268295654594
38.3279373604987,1.47750974881218
41.3781609624644,1.63758516216622
44.8224628919472,1.469736244856
45.5498906868152,1.39421546876516
46.1383048219776,1.57821889790203
48.793956514087,1.46586484314604
52.8353133912267,1.469736244856
55.4279629808648,1.40529118811811
60.3281567739048,1.47750974881218
61.7953822833148,1.41272383914557
63.2994458665533,1.34367192094109
64.4641025135119,1.48141190513633
64.6553729175073,1.35434611975196
68.3649972233925,1.3225752444681
75.4237353199553,1.28137039274658
77.6443011855579,1.34367192094109
82.3225002238239,1.2881476208732
90.334367825985,1.27799516161452
94.0073539708019,1.25461617409044
96.5274634504745,1.28137039274658
105.086983412762,1.25461617409044
110.520358620382,1.25131141568994
115.312255019885,1.25131141568994
