1922;2.1;1.7;1.5;;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1959;2.22;1.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;2.87;6.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;2.045;1.522;;1.056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;1.498;;1.058;0.829;0.722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986;;;;1.364;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;;;;;1.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;;;;;1.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;;;;1.35;1.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;2.03;1.52;1.4;;;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;1.4473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;1.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;1.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;2.19;1.62;;1.33;1.172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;2.13;1.6;;1.38;1.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;2.17;1.63;;1.42;1.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;2.02;1.52;;1.34;1.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;1.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;1.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;2.03;1.52;;1.34;1.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;2.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;1.3833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;2.2;1.62;;1.3898;1.4087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
